Date,NYC_Price
2000-06-05,1.61
2000-06-12,1.65
2000-06-19,1.686
2000-06-26,1.705
2000-07-03,1.711
2000-07-10,1.708
2000-07-17,1.703
2000-07-24,1.69
2000-07-31,1.67
2000-08-07,1.656
2000-08-14,1.638
2000-08-21,1.633
2000-08-28,1.623
2000-09-04,1.625
2000-09-11,1.634
2000-09-18,1.63
2000-09-25,1.626
2000-10-02,1.616
2000-10-09,1.605
2000-10-16,1.609
2000-10-23,1.611
2000-10-30,1.613
2000-11-06,1.613
2000-11-13,1.603
2000-11-20,1.603
2000-11-27,1.599
2000-12-04,1.592
2000-12-11,1.579
2000-12-18,1.558
2000-12-25,1.545
2001-01-01,1.537
2001-01-08,1.524
2001-01-15,1.516
2001-01-22,1.51
2001-01-29,1.509
2001-02-05,1.505
2001-02-12,1.507
2001-02-19,1.508
2001-02-26,1.499
2001-03-05,1.492
2001-03-12,1.481
2001-03-19,1.471
2001-03-26,1.457
2001-04-02,1.466
2001-04-09,1.492
2001-04-16,1.552
2001-04-23,1.615
2001-04-30,1.668
2001-05-07,1.723
2001-05-14,1.759
2001-05-21,1.761
2001-05-28,1.797
2001-06-04,1.797
2001-06-11,1.783
2001-06-18,1.762
2001-06-25,1.744
2001-07-02,1.71
2001-07-09,1.684
2001-07-16,1.66
2001-07-23,1.621
2001-07-30,1.586
2001-08-06,1.556
2001-08-13,1.557
2001-08-20,1.542
2001-08-27,1.525
2001-09-03,1.511
2001-09-10,1.508
2001-09-17,1.502
2001-09-24,1.492
2001-10-01,1.463
2001-10-08,1.427
2001-10-15,1.403
2001-10-22,1.372
2001-10-29,1.344
2001-11-05,1.305
2001-11-12,1.276
2001-11-19,1.247
2001-11-26,1.22
2001-12-03,1.193
2001-12-10,1.169
2001-12-17,1.144
2001-12-24,1.137
2001-12-31,1.131
2002-01-07,1.143
2002-01-14,1.165
2002-01-21,1.162
2002-01-28,1.162
2002-02-04,1.155
2002-02-11,1.157
2002-02-18,1.156
2002-02-25,1.162
2002-03-04,1.165
2002-03-11,1.204
2002-03-18,1.271
2002-03-25,1.338
2002-04-01,1.373
2002-04-08,1.405
2002-04-15,1.437
2002-04-22,1.45
2002-04-29,1.451
2002-05-06,1.457
2002-05-13,1.457
2002-05-20,1.457
2002-05-27,1.451
2002-06-03,1.45
2002-06-10,1.442
2002-06-17,1.437
2002-06-24,1.433
2002-07-01,1.429
2002-07-08,1.426
2002-07-15,1.427
2002-07-22,1.448
2002-07-29,1.458
2002-08-05,1.471
2002-08-12,1.473
2002-08-19,1.475
2002-08-26,1.482
2002-09-02,1.482
2002-09-09,1.483
2002-09-16,1.482
