Date,NYC_Price
2011-01-03,3.158
2011-01-10,3.177
2011-01-17,3.192
2011-01-24,3.208
2011-01-31,3.21
2011-02-07,3.221
2011-02-14,3.227
2011-02-21,3.246
2011-02-28,3.403
2011-03-07,3.548
2011-03-14,3.591
2011-03-21,3.591
2011-03-28,3.605
2011-04-04,3.676
2011-04-11,3.766
2011-04-18,3.866
2011-04-25,3.945
2011-05-02,4.045
2011-05-09,4.069
2011-05-16,4.064
2011-05-23,3.996
2011-05-30,3.929
2011-06-06,3.869
2011-06-13,3.833
2011-06-20,3.792
2011-06-27,3.759
2011-07-04,3.72
2011-07-11,3.762
2011-07-18,3.808
2011-07-25,3.839
2011-08-01,3.863
2011-08-08,3.825
2011-08-15,3.759
2011-08-22,3.708
2011-08-29,3.708
2011-09-05,3.737
2011-09-12,3.735
2011-09-19,3.692
2011-09-26,3.625
2011-10-03,3.549
2011-10-10,3.505
2011-10-17,3.535
2011-10-24,3.533
2011-10-31,3.51
2011-11-07,3.486
2011-11-14,3.487
2011-11-21,3.454
2011-11-28,3.414
2011-12-05,3.37
2011-12-12,3.363
2011-12-19,3.335
2011-12-26,3.331
2012-01-02,3.366
2012-01-09,3.459
2012-01-16,3.484
2012-01-23,3.522
2012-01-30,3.588
2012-02-06,3.619
2012-02-13,3.66
2012-02-20,3.703
2012-02-27,3.772
2012-03-05,3.81
2012-03-12,3.817
2012-03-19,3.825
2012-03-26,3.869
2012-04-02,3.913
2012-04-09,3.974
2012-04-16,3.963
2012-04-23,3.95
2012-04-30,3.899
2012-05-07,3.851
2012-05-14,3.808
2012-05-21,3.758
2012-05-28,3.705
2012-06-04,3.66
2012-06-11,3.584
2012-06-18,3.514
2012-06-25,3.467
2012-07-02,3.443
2012-07-09,3.497
2012-07-16,3.553
2012-07-23,3.649
2012-07-30,3.653
2012-08-06,3.705
2012-08-13,3.794
2012-08-20,3.821
2012-08-27,3.838
2012-09-03,3.869
2012-09-10,3.895
2012-09-17,3.99
2012-09-24,3.938
2012-10-01,3.931
2012-10-08,3.958
2012-10-15,3.917
2012-10-22,3.816
2012-10-29,3.692
2012-11-05,3.695
2012-11-12,3.7
2012-11-19,3.732
2012-11-26,3.709
2012-12-03,3.649
2012-12-10,3.599
2012-12-17,3.536
2012-12-24,3.518
2012-12-31,3.538
